Hindi,English
मानचित्र ,Map 
सुख ,Happiness 
बदनाम ,Infamous 
कंकाल ,Skeleton 
उदारता ,kindness 
यूनानी ,Greek 
लाइफ ,Life 
दुर्बल ,weak 
छाप ,impression 
शक्ल ,shape 
रेस ,race 
सहित ,including 
लवली ,Lovely 
कराहते ,groaning 
ते ,That 
मिमिया ,bleat 
फ्लिन ,flynn 
स्पेन ,spain 
कार्यशाला ,Workshop 
मधुर ,sweet 
कटोरे ,bowls 
अड्डों ,bases 
दुर्भाग्यवश ,unfortunately 
पीढ़ी ,generation 
दुनीया ,the world 
प्रेरणादायक ,inspirational 
समस्याएं ,Issues 
प्यास ,Thirst 
दिखाएगा ,will show 
रोज़ ,everyday 
हिरन ,Deer 
इकठ्ठे ,gathered together 
ट्रेनिंग ,Training 
वगैरह ,etc 
पहाड़ी ,hill 
ढूँढा ,find 
हड़ताली ,Striking 
तुमारे ,yours 
तोंद ,belly 
दराज ,shelf 
दंगा-फ़साद ,riots 
फुसफुसा ,whisper 
छुप ,hidden 
स्टेक ,steak 
स्थानांतरण ,Transfer 
यू.के. ,U.K. 
योग ,sum 
सुला ,Sula 
थ्योरी ,theory 
चैनलों ,channels 
हड़तालियों ,the strikers 
सुन्दर ,beautiful 
टोकरी ,basket 
पात्र ,character 
जनवरी ,January 
स्वास्थ्य-सफाई ,hygiene 
कारखानों ,factories 
प्रसार ,Spreading 
विदेशियों ,foreigners 
राजदूत ,Ambassador 
वैज्ञानिकों ,scientists 
ऑलराइट ,Alright 
ओह्ह ,ohhh 
आयीं ,came 
कानूनों ,laws 
खबरों ,news 
पक्षों ,sides 
डीसी ,DC 
विडाल ,Vidal 
सोफ़ी ,Sophie 
जबरदस्ती ,Forcefully 
बजाते ,playing 
स्माईली ,smiley 
अंदाजा ,guess 
तर्क ,logic 
विलक्षणता ,eccentricity 
अनुभवों ,experiences 
नौसैनिक ,naval 
इशारे ,gestures 
नौसेना ,Navy 
जरिये ,through 
देंगी ,will give 
कड़वा ,Bitter 
गोया ,Goya 
फ्लेचर ,Fletcher 
आहार ,diet 
सुलझाने ,to solve 
मिलीलीटर ,ml 
चित्रकला ,drawing 
चिको ,chico 
बैठिए ,have a seat 
ढलान ,slope 
अनाज ,Cereal 
बचेगा ,will be saved 
टाइटन्स ,titans 
सम्मोहन ,hypnosis 
भार ,Burden 
तून ,from you 
भयावह ,horrifying 
भरपूर ,a lot 
एर ,er 
फीस ,fees 
छोड़ी ,left 
पहुँची ,reached 
पत्नियां ,wives 
ब्लैकहोल ,blackhole 
पेड़ ,Tree 
गोरी ,blonde 
असुरक्षित ,insecure 
चहेती ,Favorite 
दाऊद ,Dawood 
कंट्रोल ,control 
अंदाज़ा ,guess 
सकल ,gross 
उत्तेजना ,Excitement 
पलेर्मो ,Palermo 
फेंको ,throw 
ट्रॉडल ,troddle 
फ़ैट ,fat 
आएँगे ,Will come 
कमाते ,earn 
ज़रिए ,through 
समायोजित ,adjusted 
लिंडसी ,lindsey 
उतने ,as many 
बताउँगा ,I will tell 
पंजीकृत ,registered 
स्वेटर ,Sweater 
मैनुअल ,manual 
बग ,bug 
तिहाई ,a third 
सलजार ,Salazar 
मोड ,mode 
सेंट्रल ,central 
शुभेच्छा ,good luck 
ज़िंदा ,alive 
वेश्यालय ,brothel 
गुंडा ,Goon 
बैक ,back 
मुलायम ,Soft 
अधूरा ,incomplete 
बेशर्म ,shameless 
लाइब्रेरी ,library 
कृत्यों ,acts 
है- ,Is- 
लुईस ,Lewis 
बुकिंग ,booking 
टखने ,Ankle 
रैंक ,rank 
अंधकार ,Darkness 
टर्नर ,turner 
भूरे ,brown 
स्नेह ,affection 
9वीं ,9th 
प्लाज्मा ,plasma 
संसद ,Parliament 
लगो ,apply 
मनीपेनी ,moneypenny 
गुणों ,properties 
चियर्स ,cheers 
स्मारक ,Memorial 
सजावट ,Decoration 
क्राउन ,crown 
भयावहता ,horror 
कहावत ,Proverb 
हिंदुओं ,Hindus 
अनलॉक ,unlock 
नब्ज ,the pulse 
पैन ,pan 
जानू ,to know 
विज़ी ,vizi 
क्रॉल ,Crawl 
नुक्सान ,loss 
भाड़े ,mercenaries 
स्टालिन ,Stalin 
स्क्वाड्रन ,squadron 
सिद्ध ,proven 
बेचारे ,poor guy 
आजीवन ,lifelong 
जाएंगी ,will go 
निकटतम ,nearest 
माउंटेन ,Mountain 
खजाने ,treasures 
फ़्रंट ,front 
अर्जी ,application 
बंदरों ,monkeys 
निकालते ,taking out 
बूआ ,aunt 
प्रणालियों ,systems 
पहुंचेंगे ,will reach 
पाठ्यपुस्तकों ,textbooks 
चुकानी ,to repay 
टॉड ,toad 
ढूंढ़ ,find 
छलांग ,Jump 
ज्वलनशील ,Flammable 
सत्र ,Session 
विलियम ,William 
स्कूली ,schoolboy 
कैकेट ,caket 
सहेजें ,save 
नदियों ,rivers 
मनोवैज्ञानिक ,psychologist 
जीसस ,jesus 
खीर ,Kheer 
सुबूत ,evidence 
उलझाने ,entangle 
परिभाषा ,Definition 
ऑरलियन्स ,orleans 
घुसा ,rammed 
स्टेट ,state 
मानसिकता ,mindset 
ओएइ ,oye 
मिलमैन ,millman 
लूँगी ,I will take 
जनरलों ,generals 
चरवाहे ,shepherd 
विशेषज्ञों ,experts 
हफ़्तों ,weeks 
खिलौने ,toys 
प्रसिद्धि ,fame 
पांचवें ,fifth 
गड़बड़ी ,disturbance 
कवरेज ,coverage 
बॉन ,bon 
विलय ,Fusion 
जात्रा ,journey 
टमाटर ,Tomato 
दर्पण ,Mirror 
सख्ती ,strictness 
फैला ,spread out 
मिलान ,match 
अद्वितीय ,Unique 
रु ,Rs 
अकल्पनीय ,unimaginable 
लैवेटरी ,the lavatory 
भटकना ,to wander 
हुड ,hood 
आयामों ,dimensions 
बादशाह ,King 
चिपक ,sticks 
गिरी ,Giri 
सॉफ्ट ,Soft 
लांग ,long 
दाँव ,bet 
तनावपूर्ण ,stressful 
उठना ,Rise 
गिराया ,dropped 
बीस्ट ,Beast 
चरवाहा ,Shepherd 
प्रयासों ,efforts 
बाधित ,interrupted 
ऑस्ट्रिया ,austria 
बूढ़े ,old people 
नन्ही ,tiny 
लंगड़ा ,lame 
वंचित ,deprived 
बंधा ,tied up 
एनिमल ,Animal 
पंज ,Five 
इग्नेसियो ,Ignacio 
दुर्गंध ,foul smell 
राजनेता ,Politician 
भ्रष्टाचार ,Corruption 
औपचारिकता ,formality 
घोंसला ,nest 
गुंडागर्दी ,hooliganism 
फाल्कन ,Falcon 
मददगार ,helpful 
हैनिबल ,Hannibal 
तोहफ़ा ,gift 
चोटों ,injuries 
चू-चू ,choo-choo 
दाएँ ,right 
हथियाने ,to grab 
लिंक ,Link 
डब्ल्यू ,w 
टैरी ,terry 
तैसी ,titty 
पीड़ा ,Pain 
स्टेज ,stage 
आगाह ,caution 
चेज ,Chase 
निकली ,came out 
विधानसभा ,Assembly 
ताले ,locks 
फ़र्स्ट ,first 
साढ़े ,half and half 
हृदय ,Heart 
मूलभूत ,basic 
चलाया ,drove 
दोहरा ,double 
सफ़र ,travel 
हू-आह ,hoo-ah 
शैम्पेन ,Champagne 
शेन ,Shane 
आशंका ,apprehension 
ऑस्ट्रेलिया ,Australia 
शहीद ,Martyr 
सलाद ,salad 
वीणा ,Veena 
फिलहाल ,At present 
संघीय ,Federal 
रिश्तों ,relationships 
कालीन ,carpet 
भवन ,the building 
तत्पर ,Ready 
भरपाई ,Compensation 
डूबने ,drowning 
टॉप ,Top 
प्रमाणित ,proven 
सरकारों ,governments 
पैलेस ,Palace 
शीत ,cold 
आघात ,the strokes 
शा ,Sha 
घुसने ,to penetrate 
क्वार्टर ,quarter 
सीढ़ियाँ ,stairs 
मांगो ,ask for 
ह्युवेल ,Heuvel 
बृहस्पति ,Jupiter 
सड़ा ,rotten 
कूदने ,to jump 
तख्तापलट ,coup d'état 
जेवियर्स ,Xavier's 
खेतिहर ,farmer 
ताक़तवर ,mighty 
किरणों ,rays 
काउंटर ,the counter 
अनुसूची ,Schedule 
जोन्स ,jones 
मिलूंगा ,I will meet 
इकलौता ,only 
टेडी ,teddy 
पार्टनर ,partner 
मिलिए ,Meet 
पलेरमो ,Palermo 
कांटा ,Fork 
प्रोटोटाइप ,prototype 
कॉर्पोरेशन ,Corporation 
बॉग्स ,bogs 
ब्रौन ,braun 
घिरे ,surrounded 
नमूनों ,samples 
बेचारी ,poor thing 
क्लोन ,clone 
क्रिकेट ,Cricket 
आविष्कार ,Invention 
अफ़्रीका ,Africa 
अपलोड ,upload 
शॉट्स ,shots 
रखवाले ,keepers 
मुसीबतों ,troubles 
खबरदार ,beware 
इला ,Ila 
प्रलोभन ,Temptation 
उभर ,emerged 
छप ,splash 
टुन्नु ,to tune 
पेल ,pail 
आंकड़े ,figures 
खाकर ,after eating 
प्राध्यापक ,the professor 
फैरेल ,pharrell 
वयस्कों ,adults 
आएं ,come over 
तुला ,to you 
मिकी ,mickey 
सर्प्राइज़ ,surprise 
पायेगा ,will find 
मार्केट ,market 
ट्रेडिंग ,trading 
नाज़ुक ,tender 
जी.आई. ,G.I. 
डिजिटल ,digital 
गाते ,sing 
पैटर्न ,pattern 
पहुंचाना ,to deliver 
थाली ,Plate 
कुश ,Kush 
राशन ,Ration 
शंकर ,Shankar 
पगला ,crazy 
जोड़ने ,add 
शीतल ,soft 
व्यक्तित्व ,Persona 
ठहरा ,stayed 
ग्राउंड ,ground 
लकीर ,streak 
मेहता ,Mehta 
अंजाम ,consequences 
गुंजाइश ,request 
उल्लू ,Owl 
खुर ,hoof 
घुमाओ ,rotate 
लज़ीज़ ,delicious 
जलती ,burning 
डायट ,Diet 
ब्लॉकों ,blocks 
मज़ाक़ ,joke 
प्रतिद्वंद्वी ,rival 
पंडित ,Pandit 
चौंकाने ,shocking 
चॉक ,chalk 
लेजर ,Laser 
निम्नलिखित ,Following 
रची ,hatched 
सफलतापूर्वक ,successfully 
सूत्र ,Formula 
पलायन ,Getaway 
मुझपे ,on me 
नाटकों ,plays 
रोती ,crying 
ज़रिया ,source 
पादरी ,priest 
केटानिया ,catania 
गुड़िया ,Doll 
सौप ,handed over 
तारीफ़ ,praise 
मिलूंगी ,I will meet 
गड़गड़ाहट ,thunder 
नाथ ,God 
नैतिकता ,ethics 
आयातित ,imported 
चूसो ,suck 
शरारत ,prank 
घने ,dense 
चरमराती ,creaky 
गर ,do it 
रमन ,Raman 
सुगंध ,fragrance 
वालेस ,wallace 
मैक्सिकन ,mexican 
स्टंट ,stunt 
बोस्टन ,boston 
तु ,You 
चलोगी ,will you come 
दलिया ,Porridge 
एक-शून्य ,one nil 
ड्रा ,draw 
महक ,smell 
चाहीए ,want 
रहेंगी ,will remain 
गोल्डन ,Golden 
मुखिया ,chief 
दर्जे ,status 
कटार ,dagger 
उत्परिवर्ती ,mutant 
हटाया ,removed 
अलमारियों ,Shelves 
ढहते ,collapsing 
कॉलर ,the collar 
सेवाओं ,services 
स्प्रे ,spray 
दस्तावेज ,Document 
समारोहों ,ceremonies 
ख़ुशी ,Happiness 
हार्वर्ड ,Harvard 
इस्त्री ,iron 
कराओ ,get it done 
शासक ,ruler 
जुगाड़ ,Makeshifter 
विवेकी ,rational 
ब्लेस ,Bless 
दर्दनाक ,painful 
फिरौती ,the ransom 
खंड ,Vol 
पतंग ,Kite 
केतकी ,how much 
रियल ,Real 
अशांत ,turbulent 
दुकानदार ,shopkeeper 
बतांए ,tell me 
बैंकर ,banker 
सुखी ,happy 
ब्लाउज ,blouse 
राउंड ,round 
पीड़ितों ,the victims 
संदिग्धों ,suspects 
गुज़र ,pass by 
बैठकर ,sitting down 
बेदखली ,eviction 
अवकाश ,Holiday 
प्रोफ़ाइल ,profile 
हिलता ,shaking 
बासी ,stale 
मंदबुद्धि ,feeble minded 
फरार ,absconding 
सिनेमा ,Cinema 
मित्रा ,friend 
वित्त ,finance 
उठाते ,picking up 
हैल ,Hal 
डॉक्टरों ,doctors 
योरा ,yora 
अक्टूबर ,october 
नाई ,Barber 
कर्मों ,deeds 
इन्होंने ,they 
ढूंढना ,to find 
बढ़ाओ ,increase the 
कृषक ,farmer 
खाये ,eat 
कबूतर ,Pigeon 
गिरवी ,Mortgage 
जामुन ,Jamun 
बेवक़ूफ़ ,idiot 
तैंतीस ,thirty three 
समन्वित ,coordinated 
प्रजनन ,Reproduction 
लापरवाही ,Negligence 
मूंगफली ,Groundnut 
शासनकाल ,Reign 
विकल्पों ,options 
पिल्ले ,puppies 
विनम्र ,Polite 
लंबाई ,Length 
भद्दे ,ugly 
जर्सी ,Jersey 
रोष ,Fury 
टोप ,hat 
अशांति ,disturbance 
करतब ,feat 
राज़ ,secret 
अपनाया ,adopted 
बेटियां ,Daughters 
गुबार ,dust 
पढ़ने ,read 
हमलावर ,Attacker 
मैट ,matt 
नहा ,bathed 
भेदभाव ,Discrimination 
विवाद ,dispute 
रोवान ,rowan 
डार्ट्स ,darts 
लड़ाइयों ,battles 
बनाएं ,create 
लुइगी ,luigi 
बांट ,share 
सड़कें ,roads 
ग़ैर-कानूनी ,illegal 
संत ,Saint 
गवाहों ,witnesses 
कपडे ,clothes 
उह्ह ,uhhh 
लॉरेन ,Lauren 
वर्क ,work 
स्तनों ,breasts 
सप्लाई ,supply 
डाटाबेस ,database 
कपड़े ,Clothes 
अभिनंदन ,congratulations 
फ्लैग ,flag 
आइलैंड ,island 
अहा ,aha 
वाइरस ,virus 
दायें ,right 
भगदड़ ,Stampede 
हेलीकाप्टरों ,helicopters 
तबसे ,since 
जलते ,burning 
तमाम ,all the 
स्काउट्स ,scouts 
सादा ,plain 
घिरा ,surrounded 
अल्ताफ ,Altaf 
लांचर ,launcher 
ज्योतिषी ,Astrologer 
कोइ ,someone 
दोगुनी ,double 
मिलूँगा ,I will meet 
महज़ ,merely 
दरों ,rates 
बांधने ,to bind 
क्यो ,why 
फ़्लू ,flu 
अलंकृत ,embellished 
सस्ते ,cheap 
खिलाया ,fed 
सॉस ,Sauce 
सिमियन ,Simian 
डियाब्लो ,Diablo 
समर्थित ,supported 
नीतियों ,policies 
निहायत ,extremely 
ढूँढ़ने ,to find 
तुरन्त ,Immediately 
करार ,agreement 
स्विंग ,swing 
सुरक्षात्मक ,protective 
तूने ,you 
असपासिआ ,Aspasia 
चेहरों ,faces 
दखल ,notice 
मिश्री ,sugar candy 
ब्लैकवॉटर ,blackwater 
गरीबी ,poverty 
अवशेष ,remains 
पालना ,follow 
गुजरे ,passed by 
रूमाल ,Handkerchief 
टर्मिनल ,terminal 
मेमो ,memo 
प्रारंभिक ,Initial 
साधनों ,means 
क्या-क्या ,what-what 
ओल्ड ,Old 
विटामिन ,vitamins 
गोलाबारी ,shelling 
बारोट ,Barot 
विंडशील्ड ,windshield 
यूजीन ,Eugene 
भगोड़ा ,fugitive 
झप्पी ,hug 
क्षमाप्रार्थी ,apologetic 
फ़ायर ,fire 
सिलाई ,Stiching 
फ़ॉरएवर ,Forever 
हार्मोन ,hormones 
लोहा ,Iron 
एस्पेरंज़ा ,Esperanza 
ईव्निंग ,Evening 
फ़िल्म ,movie 
सांता ,Santa 
राजकोष ,Treasury 
सामूहिक ,the collective 
धोखे ,deception 
कसाई ,Butcher 
कंगन ,bracelet 
वाल्ट्ज ,waltz 
सदमा ,trauma 
रखिए ,keep 
अनाथालय ,Orphanage 
उम्रकैद ,life prison 
कम्बख्त ,Kambakht 
स्नो ,snow 
किशमिश ,Raisin 
ग़लत ,wrong 
तेजस्वी ,bright 
गोल्फ ,golf 
चाबियां ,keys 
छिपना ,to hide 
अपरिहार्य ,Inevitable 
चिल्लाई ,Screamed 
लीमो ,limo 
पहुंची ,reached 
बहाया ,shed 
जिंबो ,jimbo 
निरंतर ,Continuous 
डरती ,scared 
चढ़ावा ,offering 
अप्रिय ,unpleasant 
किताबों ,books 
एकड़ ,Acre 
बक्से ,boxes 
इलेक्ट्रिक ,electric 
घोडों ,horses 
रीडिंग ,readings 
पुजारियों ,priests 
खड़ा ,Stand 
बाबू ,Baboo 
खोजनी ,to search 
परियों ,fairies 
ख़िलाफ़ ,against 
शुरूआत ,beginning 
अम्मी ,Mother 
इडियट ,idiot 
सिखाऊँगा ,will teach 
मच ,Mach 
जायें ,go to 
अहमियत ,importance 
प्रभुओं ,lords 
बगोंघी ,Bagonghi 
औपनिवेशिक ,colonial 
पिघला ,melt 
इश ,ish 
कीप ,funnel 
जिनका ,whose 
विस्फोटों ,explosions 
डिजाइनर ,designer 
शिल्प ,craft 
ओक ,Oak 
बदनामी ,Defamation 
पैनल ,Panel 
रोओ ,cry 
गार्जियन ,guardian 
दलदली ,marshy 
पैग ,Peg 
चाहूं ,want 
प्रैक्टिस ,Practice 
फिडीज ,fiddies 
प्लम्बर ,the plumber 
जेनी ,jenny 
रोमा ,Roma 
बारबेक्यू ,Barbecue 
होम ,home 
गोंद ,glue 
पालन-पोषण ,upbringing 
डरकर ,fear 
कट्टरपंथी ,fundamentalist 
निर्देशक ,Director 
ग्राफ ,graph 
टमटम ,gig 
उन्होने ,they 
दांतों ,teeth 
यार्ड ,Yard 
क्रोनिकल ,Chronicle 
माँ-बाप ,mother father 
सूसी ,Susie 
एकाग्रता ,concentration 
सेक्टर ,Sector 
पला ,time 
होशियारी ,smartness 
चेकइन ,check in 
ब्रेकर ,the breaker 
लैंग ,lang 
दिलाती ,to provide 
मीठे ,sweet 
छोड़ा ,left 
ट ,T 
बेची ,sold 
नुस्खा ,recipe 
कार्वर ,carver 
रोमांचित ,thrilled 
डैश ,dash 
अंदाज़ा ,guess 
वृक्ष ,Tree 
धारा ,Stream 
मालविका ,Malvika 
विषैला ,poisonous 
आयु ,age 
कांव ,caw 
खिंचाव ,stretch 
स्नॉटलाउट ,snotlout 
प्रांत ,province 
हॉस्पिटल ,hospital 
अल-शरीफ़ ,al-sharif 
निभाई ,played 
अनजान ,Stranger 
विरुद्ध ,against 
वुडबर्न ,Woodburn 
ईरान ,iran 
कैलेंडर ,calendar 
आकृति ,Shape 
ढांचा ,frame 
कौआ ,Crow 
बांग ,Bang 
हंसती ,laughing 
jor-एल ,jor-l 
अन्वेषण ,Investigation 
उत्पत्ति ,Produce 
टकीला ,tequila 
सामुदायिक ,Community 
देखोगी ,you will see 
तैर ,swim 
दुगुनी ,double 
टाँगे ,legs 
बूँदें ,drops 
सत्संग ,Good accompaniment 
काढ़ा ,decoction 
विस्टा ,vista 
संतुलित ,balanced 
सोए ,slept 
दाहिनी ,right 
लायक़ ,worth 
वांछित ,Desired 
ख़याल ,care 
आत्माएं ,Spirits 
क़लम ,pen 
ग्रेमलिन ,Gremlin 
सत्यापित ,verified 
ठेकेदारों ,contractors 
संधि ,Treaty 
पुण्य ,Virtue 
तरस ,longing 
ठोड़ी ,chin 
मनोरंजक ,Interesting 
अवतार ,Avatar 
प्राधिकरण ,authority 
अखंडता ,integrity 
चढ़ने ,climb up 
रिटायर ,retire 
आईने ,by mother 
मैक्सिको ,mexico 
मनाना ,Celebrate 
संक्रमित ,infected 
स्तुति ,praise 
ड्रैगन-सवारों ,dragon-riders 
ट्रान्स ,Trans 
सिमुलेशन ,simulation 
आएंगी ,will come 
बार-बार ,Frequently 
आनी ,and 
जिस्मानी ,physical 
समझाओ ,explain 
लोला ,Lola 
पार्श्व ,side 
गाउन ,to sing 
रासायनिक ,chemical 
प्रबंध ,Management 
हंसो ,laugh 
परित्यक्त ,Quitted 
योजनाएं ,plans 
हवाले ,handed over 
जाली ,forged 
रॉस ,Ross 
ईस्ट ,East 
लॉबी ,lobby 
कटाई ,harvesting 
आंतों ,intestines 
आरक्षित ,reserved 
अगरबत्ती ,incense sticks 
पालने ,Cradle 
चुनावों ,elections 
रस्सियों ,ropes 
पियानो ,the piano 
रचना ,structure 
गोल्ड ,Gold 
आरोपी ,accused 
एली ,Eli 
सूखा ,Dry 
आपसी ,mutual 
दरारें ,Cracks 
विफलताओं ,failures 
दावे ,claims 
अल्टीमेटम ,ultimatum 
एकांत ,Solitude 
सर्वशक्तिमान ,almighty 
चमकता ,shining 
लेखन ,writing 
मिलें ,meet 
आर्मी ,Army 
मोजे ,the socks 
मॉट्स ,mots 
बगीचा ,Garden 
ब्याह ,marriage 
आश्वासन ,Assurance 
सुधर ,Correction 
तंदुरुस्त ,fit 
चढ़ ,climb up 
टाइमर ,timer 
पर्वतारोहण ,mountain climbing 
गुण्डे ,hooligans 
जीवाश्म ,fossil 
महायाजक ,high priest 
चंद ,few 
आटा ,Flour 
खींचती ,pulling 
बहन-fuckers ,sister-fuckers 
माँ-fuckers ,mom-fuckers 
पारिवारिक ,family 
मीनार ,Tower 
तकिए ,pillows 
अनुसूया ,schedule 
पंछी ,Birds 
तालियों ,applause 
फेरबदल ,shuffle 
अनोखा ,Unique 
एंथोनी ,anthony 
गुजरात ,Gujarat 
एलीवेटर ,elevator 
जुटा ,gathered 
तहख़ाने ,basement 
डोप ,dope 
निष्कासित ,Expelled 
राघव ,Raghav 
बाजू ,side 
सैलून ,salon 
रेल ,Rail 
जेमी ,jamie 
छिड़क ,sprinkle 
मोती ,Pearl 
होऊंगा ,will be 
भ्रूण ,fetus 
कृष्णन ,Krishnan 
उपाधि ,Degree 
आईआईटी ,IIT 
करवाना ,get it done 
रॉजर ,Roger 
भंडाफोड़ ,Busted 
प्रश्नावली ,Questionnaire 
भूतिया ,haunted 
लेज़्ली ,Leslie 
बुफे ,buffet 
रखूंगा ,will keep 
उपलब्धि ,achievement 
राइट ,Right 
स्टोनी ,stony 
लबादा ,Macintosh 
स्टॉक ,stock 
ट्रस्ट ,trust 
परफेक्ट ,perfect 
डॉट ,dot 
पक्की ,sure 
फ़ोर्स ,force 
इंसानों ,human beings 
सूक्ष्म ,Micro 
कोरोनर ,coroner 
मूवर्स ,movers 
कुंडली ,Horoscope 
माँगा ,asked for 
कुंवारा ,Bachelor 
धंधा ,business 
उपेक्षा ,Ignore 
घुटन ,suffocation 
गरिमा ,dignity 
रोजीने ,by day 
इत्र ,Perfume 
ज़बरन ,forcibly 
डुबकी ,Dip 
स्थलों ,destinations 
चिन्ता ,worry 
बैरबस ,Barabas 
सकूंगा ,will be able 
कहानियां ,stories 
आयामी ,dimensional 
खोलूंगा ,I will open 
स्फूर्ति ,Energy 
शाबास ,well done 
हेरोदेस ,Herod 
चमत्कारी ,Miraculous 
पड़ोसी ,Neighbour 
उड़ने ,to fly 
ताल ,lake 
स्पेक्टर ,specter 
क्रमिक ,gradual 
रोलिंग ,rolling 
लायी ,brought 
फंसे ,stranded 
राई ,Rye 
आध्यात्मिक ,Spiritual 
स्टेशनों ,stations 
पाये ,found 
सदमे ,shock 
फिजराल्ड़ ,fitzgerald 
डच ,Dutch 
मुझपर ,on me 
क्लॉडिया ,claudia 
चाचू ,uncle 
घूमा ,roamed around 
िबलकुल ,िबलकुल 
गज़ब ,Calamity 
स्कॉच ,Scotch 
बगैर ,without 
जॉनसन ,Johnson 
भत्ता ,Allowance 
फंदे ,noose 
वस्त्र ,Clothes 
मुक्केबाज़ी ,boxing 
क्लास ,Class 
खराबी ,Malfunction 
पकड़ना ,Catch 
सौंपने ,to hand over 
अफ़ीम ,opium 
रणभूमि ,battlefield 
रुपया ,Rupee 
फैशन ,fashion 
मैकमिलन ,macmillan 
आसन्न ,imminent 
चोदा ,fucked 
सूत्रों ,sources 
डरे ,scared 
गट्ठा ,bundle 
ईधन ,Fuel 
टूटा ,broken 
दूल्हा ,Groom 
धड़क ,heartbeat 
दीनार ,dinar 
सूंघ ,smell 
लगें ,get engaged 
डोरोथी ,dorothy 
बोलें ,speak 
बर्गर ,Burger 
पेपर ,Paper 
जुदाई ,separation 
गलीली ,galilee 
सन ,Sun 
वेंडी ,wendy 
सबटाइटल ,subtitle 
मोज़ेस ,moses 
धमाके ,bang 
भूलो ,forget it 
उल्लास ,glee 
मुलाक़ात ,meeting 
कमरों ,rooms 
हूँगी ,will be 
होयत ,It will be 
बेड ,bed 
ग्रुप ,group 
बेरंग ,colorless 
वफ़ादारी ,loyalty 
आहत ,Hurt 
चौकस ,attentive 
षड्यंत्र ,conspiracy 
कृषि ,agriculture 
प्राणियों ,creatures 
पत्रिकाओं ,magazines 
बढ़ाना ,Increase 
कोयले ,coal 
लेनदेन ,Exchange 
वसीयतनामा ,Testament 
वेदी ,altar 
संस्कृतियों ,cultures 
हिस्सों ,parts 
संभल ,Careful 
वासियों ,inhabitants 
करोड़ों ,Millions 
क ,K 
डीलरों ,dealers 
लुगदी ,pulp 
प्रत्यक्ष ,directly 
शेव ,Chev 
डेमोक्रेटिक ,democratic 
9वी ,9th 
कदमों ,steps 
मलबा ,debris 
सुविधाजनक ,convenient 
टकटकी ,Gaze 
विमानन ,aviation 
उत्पादक ,Manufacturer 
उड़ा ,blow up 
गेम ,game 
फैलाने ,to spread 
फ़ेल ,failed 
जुड़ी ,attached 
वायुमंडल ,Atmosphere 
फ़ारसी ,Persian 
केबल ,cable 
ज़रिए ,through 
पुतला ,Mannequin 
चौधरी ,Chowdhary 
वालेकुम ,welcome 
समीक्षा ,Review 
किस्म ,variety 
आवश्यकताओं ,Requirements 
मुर्गियों ,chickens 
चकमा ,Dodge 
जूम ,zoom 
जैप ,zap 
ब्राजील ,Brazil 
सूरत ,face 
टाइप ,type 
पक ,Puck 
जिगर ,liver 
पडेगा ,will fall 
रोमली ,Romli 
ड्रग ,Drug 
लक्ष्यों ,goals 
फैलाव ,Spread 
पार्कर ,parker 
सापेक्षता ,relativity 
वेटिकन ,Vatican 
पास्कल ,pascal 
वाटसन ,watson 
जुड़े ,connected 
मास्को ,Moscow 
जियोवाना ,Giovanna 
शैंपेन ,Champagne 
त्रिआयामी ,three dimensional 
संवाद ,dialogue 
मज़े ,fun 
पाताल ,Hell 
नबी ,prophet 
भीषण ,horrific 
आल्टूसी ,altussi 
कस्टम ,Custom 
उपदेश ,Sermon 
तमन्ना ,Desire 
टट्टू ,pony 
जहरीला ,poisonous 
वाइपर ,wiper 
बढ़ाने ,increase 
आशाजनक ,promising 
मेनू ,menu 
कोयम्बटूर ,Coimbatore 
उद्घाटन ,opening 
संगठनकर्ता ,Organizer 
भूलें ,forget about 
हाफते ,Gasps 
यूरेका ,eureka 
परियोजनाओं ,projects 
दसवीं ,tenth 
हैनसेन ,hansen 
सर्जियो ,Sergio 
गोरों ,whites 
ऊँचा ,high 
दीमक ,Termite 
बिलियन ,billion 
मार्मिक ,poignant 
मेड ,Made 
आर्डर ,order 
पेंटेकोस्ट ,Pentecost 
जिलियन ,Jillian 
रिंगिंग ,ringing 
स्टेकर ,stacker 
अभिव्यक्ति ,expression 
खींचना ,Drag 
अस्वीकृत ,Rejected 
चाभी ,key 
क्रांतिकारी ,Revolutionary 
कुशलता ,efficiency 
पूरब ,East 
दफ़ा ,Daffa 
घाटियों ,valleys 
तटीय ,coastal 
ग्यारह ,Eleven 
कैन ,can 
गुनगुना ,lukewarm 
बाजरा ,Millet 
वनों ,forests 
कायम ,maintained 
बिंगो ,Bingo 
नाराज़ ,angry 
घुड़सवार ,horseman 
मंशा ,Desire 
डेली ,deli 
सरदार ,Sardar 
खिड़कियां ,windows 
अलास्का ,alaska 
न्यूपोर्ट ,Newport 
मुड़कर ,turning around 
मंत्रमुग्ध ,mesmerized 
सिपसन ,sipson 
सेम ,beans 
शुष्क ,Dry 
अवधारणाओं ,concepts 
व्हील ,wheel 
भागीदारों ,partners 
आचरण ,Behaviour 
वैसी ,like that 
रीसेट ,reset 
भद्दा ,ugly 
लड़ते ,fighting 
बार्किंग ,barking 
ऐलेना ,elena 
जायेगे ,will go 
गैरेज ,garage 
बार्न ,Barn 
प्रसव ,delivery 
भरोसेमंद ,reliable 
मूर्ति ,statue 
आइजनहावर ,Eisenhower 
करीबी ,close 
